"Title:","Diesel from the Retail Gasoline Prices Database"
"SubTitle:","USA"
"Time:","03/21/1994 - 02/20/2023"
"Unit of Measure:","$/Gal"
"Citation:","Energy Information Administration (2023-02-26). Retail Gasoline Prices: Diesel, 03/21/1994 - 02/20/2023. Data Planet? Statistical Datasets: A SAGE Publishing Resource. (Dataset). Dataset-ID:  004-004-013 doi:https://doi.org/10.6068/DP186ADC0B82835"
"ColumnCount:",2
"RowCount:",1510

"Time","Diesel ($/Gal)"
"03/21/1994",1.11
"03/28/1994",1.11
"04/04/1994",1.11
"04/11/1994",1.11
"04/18/1994",1.11
"04/25/1994",1.11
"05/02/1994",1.1
"05/09/1994",1.1
"05/16/1994",1.1
"05/23/1994",1.1
"05/30/1994",1.1
"06/06/1994",1.1
"06/13/1994",1.1
"06/20/1994",1.1
"06/27/1994",1.11
"07/04/1994",1.11
"07/11/1994",1.11
"07/18/1994",1.11
"07/25/1994",1.11
"08/01/1994",1.12
"08/08/1994",1.13
"08/15/1994",1.13
"08/22/1994",1.12
"08/29/1994",1.12
"09/05/1994",1.13
"09/12/1994",1.13
"09/19/1994",1.13
"09/26/1994",1.12
"10/03/1994",1.12
"10/10/1994",1.12
"10/17/1994",1.12
"10/24/1994",1.12
"10/31/1994",1.13
"11/07/1994",1.13
"11/14/1994",1.14
"11/21/1994",1.13
"11/28/1994",1.13
"12/05/1994",1.12
"12/12/1994",1.11
"12/19/1994",1.11
"12/26/1994",1.11
"01/02/1995",1.1
"01/09/1995",1.1
"01/16/1995",1.1
"01/23/1995",1.1
"01/30/1995",1.09
"02/06/1995",1.09
"02/13/1995",1.09
"02/20/1995",1.09
"02/27/1995",1.09
"03/06/1995",1.09
"03/13/1995",1.09
"03/20/1995",1.09
"03/27/1995",1.09
"04/03/1995",1.09
"04/10/1995",1.1
"04/17/1995",1.11
"04/24/1995",1.12
"05/01/1995",1.12
"05/08/1995",1.13
"05/15/1995",1.13
"05/22/1995",1.12
"05/29/1995",1.13
"06/05/1995",1.12
"06/12/1995",1.12
"06/19/1995",1.12
"06/26/1995",1.11
"07/03/1995",1.11
"07/10/1995",1.1
"07/17/1995",1.1
"07/24/1995",1.1
"07/31/1995",1.09
"08/07/1995",1.1
"08/14/1995",1.11
"08/21/1995",1.11
"08/28/1995",1.11
"09/04/1995",1.12
"09/11/1995",1.12
"09/18/1995",1.12
"09/25/1995",1.12
"10/02/1995",1.12
"10/09/1995",1.12
"10/16/1995",1.12
"10/23/1995",1.11
"10/30/1995",1.11
"11/06/1995",1.12
"11/13/1995",1.12
"11/20/1995",1.12
"11/27/1995",1.12
"12/04/1995",1.12
"12/11/1995",1.12
"12/18/1995",1.13
"12/25/1995",1.14
"01/01/1996",1.15
"01/08/1996",1.15
"01/15/1996",1.15
"01/22/1996",1.14
"01/29/1996",1.14
"02/05/1996",1.13
"02/12/1996",1.13
"02/19/1996",1.15
"02/26/1996",1.16
"03/04/1996",1.18
"03/11/1996",1.17
"03/18/1996",1.17
"03/25/1996",1.21
"04/01/1996",1.22
"04/08/1996",1.25
"04/15/1996",1.31
"04/22/1996",1.3
"04/29/1996",1.29
"05/06/1996",1.29
"05/13/1996",1.29
"05/20/1996",1.27
"05/27/1996",1.25
"06/03/1996",1.24
"06/10/1996",1.22
"06/17/1996",1.19
"06/24/1996",1.18
"07/01/1996",1.17
"07/08/1996",1.17
"07/15/1996",1.18
"07/22/1996",1.18
"07/29/1996",1.18
"08/05/1996",1.18
"08/12/1996",1.19
"08/19/1996",1.21
"08/26/1996",1.22
"09/02/1996",1.23
"09/09/1996",1.25
"09/16/1996",1.28
"09/23/1996",1.28
"09/30/1996",1.29
"10/07/1996",1.31
"10/14/1996",1.33
"10/21/1996",1.33
"10/28/1996",1.33
"11/04/1996",1.32
"11/11/1996",1.32
"11/18/1996",1.32
"11/25/1996",1.33
"12/02/1996",1.32
"12/09/1996",1.32
"12/16/1996",1.31
"12/23/1996",1.3
"12/30/1996",1.3
"01/06/1997",1.29
"01/13/1997",1.3
"01/20/1997",1.29
"01/27/1997",1.28
"02/03/1997",1.29
"02/10/1997",1.29
"02/17/1997",1.28
"02/24/1997",1.27
"03/03/1997",1.25
"03/10/1997",1.23
"03/17/1997",1.22
"03/24/1997",1.22
"03/31/1997",1.23
"04/07/1997",1.22
"04/14/1997",1.22
"04/21/1997",1.21
"04/28/1997",1.21
"05/05/1997",1.21
"05/12/1997",1.19
"05/19/1997",1.19
"05/26/1997",1.2
"06/02/1997",1.19
"06/09/1997",1.19
"06/16/1997",1.17
"06/23/1997",1.16
"06/30/1997",1.15
"07/07/1997",1.16
"07/14/1997",1.15
"07/21/1997",1.15
"07/28/1997",1.15
"08/04/1997",1.16
"08/11/1997",1.17
"08/18/1997",1.17
"08/25/1997",1.17
"09/01/1997",1.17
"09/08/1997",1.16
"09/15/1997",1.16
"09/22/1997",1.15
"09/29/1997",1.16
"10/06/1997",1.18
"10/13/1997",1.19
"10/20/1997",1.19
"10/27/1997",1.19
"11/03/1997",1.19
"11/10/1997",1.19
"11/17/1997",1.2
"11/24/1997",1.19
"12/01/1997",1.19
"12/08/1997",1.17
"12/15/1997",1.16
"12/22/1997",1.16
"12/29/1997",1.15
"01/05/1998",1.15
"01/12/1998",1.13
"01/19/1998",1.11
"01/26/1998",1.1
"02/02/1998",1.09
"02/09/1998",1.09
"02/16/1998",1.08
"02/23/1998",1.08
"03/02/1998",1.07
"03/09/1998",1.07
"03/16/1998",1.06
"03/23/1998",1.05
"03/30/1998",1.07
"04/06/1998",1.07
"04/13/1998",1.07
"04/20/1998",1.07
"04/27/1998",1.07
"05/04/1998",1.07
"05/11/1998",1.08
"05/18/1998",1.07
"05/25/1998",1.06
"06/01/1998",1.05
