"Time","Midgrade ($/Gal)"
"11/28/1994",1.2
"12/05/1994",1.2
"12/12/1994",1.19
"12/19/1994",1.18
"12/26/1994",1.17
"01/02/1995",1.17
"01/09/1995",1.18
"01/16/1995",1.17
"01/23/1995",1.18
"01/30/1995",1.18
"02/06/1995",1.17
"02/13/1995",1.17
"02/20/1995",1.16
"02/27/1995",1.16
"03/06/1995",1.17
"03/13/1995",1.16
"03/20/1995",1.16
"03/27/1995",1.16
"04/03/1995",1.17
"04/10/1995",1.19
"04/17/1995",1.21
"04/24/1995",1.23
"05/01/1995",1.24
"05/08/1995",1.26
"05/15/1995",1.27
"05/22/1995",1.29
"05/29/1995",1.29
"06/05/1995",1.29
"06/12/1995",1.29
"06/19/1995",1.28
"06/26/1995",1.27
"07/03/1995",1.27
"07/10/1995",1.25
"07/17/1995",1.24
"07/24/1995",1.24
"07/31/1995",1.22
"08/07/1995",1.22
"08/14/1995",1.22
"08/21/1995",1.21
"08/28/1995",1.21
"09/04/1995",1.2
"09/11/1995",1.2
"09/18/1995",1.2
"09/25/1995",1.2
"10/02/1995",1.19
"10/09/1995",1.19
"10/16/1995",1.18
"10/23/1995",1.17
"10/30/1995",1.16
"11/06/1995",1.15
"11/13/1995",1.15
"11/20/1995",1.15
"11/27/1995",1.15
"12/04/1995",1.15
"12/11/1995",1.15
"12/18/1995",1.17
"12/25/1995",1.17
"01/01/1996",1.17
"01/08/1996",1.18
"01/15/1996",1.19
"01/22/1996",1.18
"01/29/1996",1.18
"02/05/1996",1.17
"02/12/1996",1.17
"02/19/1996",1.18
"02/26/1996",1.2
"03/04/1996",1.21
"03/11/1996",1.21
"03/18/1996",1.22
"03/25/1996",1.25
"04/01/1996",1.26
"04/08/1996",1.29
"04/15/1996",1.33
"04/22/1996",1.34
"04/29/1996",1.36
"05/06/1996",1.36
"05/13/1996",1.36
"05/20/1996",1.37
"05/27/1996",1.36
"06/03/1996",1.35
"06/10/1996",1.35
"06/17/1996",1.34
"06/24/1996",1.33
"07/01/1996",1.32
"07/08/1996",1.32
"07/15/1996",1.31
"07/22/1996",1.31
"07/29/1996",1.3
