"Time","Premium Grade ($/Gal)"
"11/28/1994",1.3
"12/05/1994",1.3
"12/12/1994",1.29
"12/19/1994",1.28
"12/26/1994",1.27
"01/02/1995",1.27
"01/09/1995",1.28
"01/16/1995",1.27
"01/23/1995",1.28
"01/30/1995",1.27
"02/06/1995",1.27
"02/13/1995",1.26
"02/20/1995",1.26
"02/27/1995",1.26
"03/06/1995",1.26
"03/13/1995",1.26
"03/20/1995",1.25
"03/27/1995",1.26
"04/03/1995",1.27
"04/10/1995",1.29
"04/17/1995",1.3
"04/24/1995",1.32
"05/01/1995",1.33
"05/08/1995",1.36
"05/15/1995",1.36
"05/22/1995",1.38
"05/29/1995",1.39
"06/05/1995",1.39
"06/12/1995",1.38
"06/19/1995",1.38
"06/26/1995",1.37
"07/03/1995",1.36
"07/10/1995",1.35
"07/17/1995",1.34
"07/24/1995",1.33
"07/31/1995",1.32
"08/07/1995",1.32
"08/14/1995",1.31
"08/21/1995",1.31
"08/28/1995",1.31
"09/04/1995",1.3
"09/11/1995",1.3
"09/18/1995",1.3
"09/25/1995",1.3
"10/02/1995",1.29
"10/09/1995",1.28
"10/16/1995",1.27
"10/23/1995",1.26
"10/30/1995",1.25
"11/06/1995",1.25
"11/13/1995",1.25
"11/20/1995",1.24
"11/27/1995",1.24
"12/04/1995",1.25
"12/11/1995",1.25
"12/18/1995",1.26
"12/25/1995",1.26
"01/01/1996",1.27
"01/08/1996",1.28
"01/15/1996",1.29
"01/22/1996",1.28
"01/29/1996",1.27
"02/05/1996",1.27
"02/12/1996",1.26
"02/19/1996",1.27
"02/26/1996",1.29
"03/04/1996",1.31
"03/11/1996",1.31
"03/18/1996",1.32
"03/25/1996",1.35
"04/01/1996",1.36
"04/08/1996",1.38
"04/15/1996",1.42
"04/22/1996",1.44
"04/29/1996",1.46
"05/06/1996",1.46
"05/13/1996",1.46
"05/20/1996",1.47
"05/27/1996",1.46
"06/03/1996",1.45
"06/10/1996",1.44
"06/17/1996",1.44
"06/24/1996",1.43
"07/01/1996",1.42
"07/08/1996",1.41
"07/15/1996",1.41
"07/22/1996",1.41
"07/29/1996",1.4
"08/05/1996",1.39
"08/12/1996",1.38
"08/19/1996",1.38
"08/26/1996",1.39
"09/02/1996",1.38
"09/09/1996",1.38
"09/16/1996",1.38
"09/23/1996",1.38
"09/30/1996",1.38
"10/07/1996",1.37
"10/14/1996",1.38
"10/21/1996",1.38
"10/28/1996",1.4
"11/04/1996",1.4
"11/11/1996",1.41
"11/18/1996",1.42
"11/25/1996",1.42
"12/02/1996",1.42
"12/09/1996",1.42
"12/16/1996",1.42
"12/23/1996",1.41
"12/30/1996",1.41
"01/06/1997",1.41
"01/13/1997",1.42
"01/20/1997",1.42
"01/27/1997",1.42
"02/03/1997",1.42
"02/10/1997",1.41
"02/17/1997",1.41
"02/24/1997",1.41
"03/03/1997",1.4
"03/10/1997",1.39
"03/17/1997",1.38
"03/24/1997",1.39
"03/31/1997",1.38
"04/07/1997",1.39
"04/14/1997",1.38
"04/21/1997",1.38
"04/28/1997",1.38
"05/05/1997",1.37
"05/12/1997",1.37
"05/19/1997",1.38
