"Time","Regular Grade ($/Gal)"
"11/28/1994",1.11
"12/05/1994",1.1
"12/12/1994",1.1
"12/19/1994",1.09
"12/26/1994",1.08
"01/02/1995",1.08
"01/09/1995",1.09
"01/16/1995",1.08
"01/23/1995",1.08
"01/30/1995",1.08
"02/06/1995",1.08
"02/13/1995",1.07
"02/20/1995",1.07
"02/27/1995",1.07
"03/06/1995",1.08
"03/13/1995",1.07
"03/20/1995",1.07
"03/27/1995",1.08
"04/03/1995",1.09
"04/10/1995",1.1
"04/17/1995",1.12
"04/24/1995",1.14
"05/01/1995",1.15
"05/08/1995",1.17
"05/15/1995",1.18
"05/22/1995",1.2
"05/29/1995",1.2
"06/05/1995",1.2
"06/12/1995",1.2
"06/19/1995",1.19
"06/26/1995",1.18
"07/03/1995",1.18
"07/10/1995",1.17
"07/17/1995",1.15
"07/24/1995",1.14
"07/31/1995",1.13
"08/07/1995",1.13
"08/14/1995",1.13
"08/21/1995",1.12
"08/28/1995",1.12
"09/04/1995",1.11
"09/11/1995",1.11
"09/18/1995",1.11
"09/25/1995",1.11
"10/02/1995",1.11
"10/09/1995",1.1
"10/16/1995",1.09
"10/23/1995",1.08
"10/30/1995",1.07
"11/06/1995",1.07
"11/13/1995",1.06
"11/20/1995",1.06
"11/27/1995",1.06
"12/04/1995",1.06
"12/11/1995",1.06
"12/18/1995",1.08
"12/25/1995",1.08
"01/01/1996",1.08
"01/08/1996",1.09
"01/15/1996",1.1
"01/22/1996",1.09
"01/29/1996",1.09
"02/05/1996",1.08
"02/12/1996",1.08
"02/19/1996",1.09
"02/26/1996",1.11
"03/04/1996",1.12
"03/11/1996",1.13
"03/18/1996",1.14
"03/25/1996",1.16
"04/01/1996",1.18
"04/08/1996",1.2
"04/15/1996",1.24
"04/22/1996",1.26
"04/29/1996",1.27
"05/06/1996",1.27
"05/13/1996",1.28
"05/20/1996",1.29
"05/27/1996",1.27
"06/03/1996",1.27
"06/10/1996",1.26
"06/17/1996",1.26
"06/24/1996",1.25
"07/01/1996",1.23
"07/08/1996",1.23
"07/15/1996",1.23
"07/22/1996",1.23
"07/29/1996",1.22
"08/05/1996",1.21
"08/12/1996",1.2
"08/19/1996",1.21
"08/26/1996",1.21
"09/02/1996",1.2
"09/09/1996",1.2
"09/16/1996",1.21
"09/23/1996",1.21
"09/30/1996",1.2
"10/07/1996",1.19
"10/14/1996",1.2
"10/21/1996",1.2
"10/28/1996",1.22
"11/04/1996",1.22
"11/11/1996",1.23
"11/18/1996",1.24
"11/25/1996",1.24
"12/02/1996",1.24
"12/09/1996",1.24
"12/16/1996",1.24
"12/23/1996",1.23
"12/30/1996",1.23
"01/06/1997",1.23
"01/13/1997",1.24
"01/20/1997",1.24
"01/27/1997",1.24
"02/03/1997",1.24
"02/10/1997",1.23
"02/17/1997",1.23
"02/24/1997",1.22
"03/03/1997",1.22
"03/10/1997",1.21
"03/17/1997",1.2
"03/24/1997",1.2
"03/31/1997",1.2
"04/07/1997",1.2
"04/14/1997",1.2
"04/21/1997",1.2
"04/28/1997",1.2
"05/05/1997",1.19
"05/12/1997",1.19
"05/19/1997",1.2
"05/26/1997",1.21
"06/02/1997",1.22
"06/09/1997",1.21
"06/16/1997",1.2
"06/23/1997",1.19
"06/30/1997",1.18
"07/07/1997",1.18
"07/14/1997",1.17
"07/21/1997",1.18
"07/28/1997",1.17
"08/04/1997",1.19
"08/11/1997",1.23
"08/18/1997",1.23
"08/25/1997",1.24
"09/01/1997",1.24
"09/08/1997",1.24
"09/15/1997",1.24
"09/22/1997",1.23
"09/29/1997",1.21
"10/06/1997",1.21
"10/13/1997",1.2
"10/20/1997",1.19
"10/27/1997",1.18
"11/03/1997",1.18
"11/10/1997",1.18
"11/17/1997",1.17
"11/24/1997",1.16
"12/01/1997",1.15
"12/08/1997",1.14
"12/15/1997",1.13
"12/22/1997",1.12
"12/29/1997",1.11
"01/05/1998",1.1
"01/12/1998",1.09
"01/19/1998",1.08
"01/26/1998",1.07
"02/02/1998",1.06
"02/09/1998",1.05
"02/16/1998",1.04
"02/23/1998",1.04
"03/02/1998",1.03
"03/09/1998",1.02
"03/16/1998",1.01
"03/23/1998",1
"03/30/1998",1.03
"04/06/1998",1.03
"04/13/1998",1.02
"04/20/1998",1.03
"04/27/1998",1.04
"05/04/1998",1.05
"05/11/1998",1.06
"05/18/1998",1.07
"05/25/1998",1.07
"06/01/1998",1.07
"06/08/1998",1.08
"06/15/1998",1.07
"06/22/1998",1.06
"06/29/1998",1.06
"07/06/1998",1.06
"07/13/1998",1.05
"07/20/1998",1.06
"07/27/1998",1.05
"08/03/1998",1.04
"08/10/1998",1.03
"08/17/1998",1.03
"08/24/1998",1.02
"08/31/1998",1.01
"09/07/1998",1.01
"09/14/1998",1
"09/21/1998",1.01
"09/28/1998",1.01
"10/05/1998",1.02
"10/12/1998",1.02
"10/19/1998",1.02
"10/26/1998",1.01
"11/02/1998",1.01
"11/09/1998",1.01
"11/16/1998",1
"11/23/1998",0.99
"11/30/1998",0.97
"12/07/1998",0.95
"12/14/1998",0.95
"12/21/1998",0.94
"12/28/1998",0.94
"01/04/1999",0.94
"01/11/1999",0.94
"01/18/1999",0.94
"01/25/1999",0.94
"02/01/1999",0.93
"02/08/1999",0.93
"02/15/1999",0.92
"02/22/1999",0.91
"03/01/1999",0.91
"03/08/1999",0.92
"03/15/1999",0.98
"03/22/1999",1.02
"03/29/1999",1.08
"04/05/1999",1.12
"04/12/1999",1.14
"04/19/1999",1.14
"04/26/1999",1.13
"05/03/1999",1.14
"05/10/1999",1.14
"05/17/1999",1.14
"05/24/1999",1.13
"05/31/1999",1.11
"06/07/1999",1.11
"06/14/1999",1.11
"06/21/1999",1.12
"06/28/1999",1.11
"07/05/1999",1.13
"07/12/1999",1.14
"07/19/1999",1.17
"07/26/1999",1.19
"08/02/1999",1.2
"08/09/1999",1.21
"08/16/1999",1.24
"08/23/1999",1.23
"08/30/1999",1.23
"09/06/1999",1.24
"09/13/1999",1.25
"09/20/1999",1.27
"09/27/1999",1.26
"10/04/1999",1.25
"10/11/1999",1.25
"10/18/1999",1.24
"10/25/1999",1.24
"11/01/1999",1.23
"11/08/1999",1.23
"11/15/1999",1.25
"11/22/1999",1.27
"11/29/1999",1.27
"12/06/1999",1.27
"12/13/1999",1.27
"12/20/1999",1.27
"12/27/1999",1.27
"01/03/2000",1.27
"01/10/2000",1.26
"01/17/2000",1.28
"01/24/2000",1.32
"01/31/2000",1.32
"02/07/2000",1.33
"02/14/2000",1.36
"02/21/2000",1.41
"02/28/2000",1.42
"03/06/2000",1.5
